# ----------------------------------------
# 이벤트: 이벤트 이름
# 계정: AIMBTI
# 속성: AIMBTI
# ----------------------------------------
# 
# 모든 사용자
# 시작일: 20260303
# 종료일: 20260414
이벤트 이름,이벤트 수,총 사용자,활성 사용자당 이벤트 수,총수익
page_view,4444,896,4.959821428571429,0
result_view,1303,592,2.3185053380782916,0
cta_click,1008,679,1.4933333333333334,0
test_complete,999,658,1.5907643312101911,0
scroll,906,457,1.9955947136563876,0
session_start,884,740,1.1945945945945946,0
user_engagement,829,340,2.4672619047619047,0
test_start,824,639,1.3530377668308702,0
first_visit,740,740,1,0
page_exit,547,324,1.8862068965517242,0
exit_click,352,219,1.8238341968911918,0
share_click,306,88,4.636363636363637,0
click,189,116,1.6293103448275863,0
ebook_click,171,131,1.4369747899159664,0
form_submit,154,25,6.16,0
form_start,123,25,4.92,0
bootcamp_click,90,52,1.7307692307692308,0
openchat_click,86,72,1.5087719298245614,0
ebook_submit,36,2,18,0
lead_submit,8,2,4,0
